0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -2.5202323 -0.6053707 1.2352302 0.0226404 -0.0160107 0.0691760 0.0041212 -0.0250725 0.0000000 0.0000000 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -9.5115211 -0.8601674 0.0975536 0.4010807 -0.1964312 0.0968355 -0.0243537 -0.0612860 0.8483760 0.0237293 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -5.6916535 -1.1093082 0.4425800 0.2941576 -0.0107728 -0.0327901 -0.0261099 0.0131082 0.0000000 0.0000000 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -8.8941614 -1.2777631 -0.1607011 0.5655749 -0.1803201 0.0346565 -0.0174365 -0.0038531 0.3767840 -0.0025768 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -8.4748529 -1.2760818 0.2521003 0.0927928 0.0965859 0.0119489 0.0222581 -0.0074054 0.0000000 0.0000000 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -9.8521735 -1.3749577 -0.0640835 0.2744683 -0.0236325 0.0652143 0.0394025 -0.0073204 0.2560380 0.0865795 
0.1365123 0.0237818 69.7000000 0.9710000 2.2710000e-09 -13.5818695 0.6713182 -0.0537523 0.1384359 -0.0619954 0.0453965 0.0225948 0.0093612 0.1254020 0.0120132 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -13.8786676 0.5953441 -0.1521634 0.2083132 -0.1143877 0.0796452 0.0435068 0.0199401 0.2807210 0.0287782 
0.1365123 0.0237818 69.7000000 0.9710000 2.2710000e-09 -14.1604469 0.5442566 -0.2110160 0.2267475 -0.1099443 0.0613558 0.0216478 0.0021642 0.2699220 0.0509496 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -14.7652746 0.3913153 -0.4054015 0.3584319 -0.2021458 0.1147724 0.0490711 0.0120446 0.5378140 0.0630201 
0.1365123 0.0237818 69.7000000 0.9710000 2.2710000e-09 -15.3020893 0.3168001 -0.4834211 0.3563015 -0.1653873 0.0671218 0.0081562 -0.0137506 0.4648310 0.0340161 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -16.4511960 0.0320309 -0.8374446 0.5826409 -0.3126425 0.1435747 0.0409057 -0.0060381 0.6906490 -0.1838380 
0.1365123 0.0237818 69.7000000 0.9710000 2.2710000e-09 -17.3710080 -0.0383040 -0.9009302 0.5175030 -0.2123397 0.0476107 -0.0280233 -0.0379709 0.5956840 -0.1858130 
0.1382270 0.0225070 68.9800000 0.9690000 2.4420000e-09 -19.2953600 -0.5145842 -1.4797609 0.8693880 -0.4218262 0.1338885 -0.0125240 -0.0502191 0.8604090 -0.5673190 
